[Form 1]
clear	清楚的
orange	橙
bun	小面包
banner	橫額
message	訊息
ball	丸、球
finger food	用手拿來吃的食物（片語）
chocolate bar	朱古力捧（片語）
swimmer	游永者
different	不同的
difficult	困難的
building	建築物
camp	營
cleaner	清潔工人
coin	硬幣
cake	蛋糕
kite	風箏
lychee	荔枝
grapefruit	西柚
postcard	明信片
better than	比...好
reporter	記者
season	季節
seedless	無核的
make a wish	許願（片語）
heavy	重的
chip	薯片
game	遊戲
spend	花費
high	高的
nan	印度簿餅
snack	小食
salad	沙律
peach	桃
banquet	宴會
skin	皮
make a model	砌模型（片語）
magician	魔術師
put out	撲滅（火等）
decoration	裝飾
poem	詩
dental clinic	牙醫診所（片語）
stone	石、果核
meal	餐
short	矮的
party blower	派對哨子（片語）
customer	顧客
cheerful	愉快的
construction worker	建築工人（片語）
ham	火腿
the best	最好的
grape	提子
skillful	熟練的、有技巧的
fit	健美的
climb	爬
play the piano	彈鋼琴（片語）
wrapping paper	包裝紙（片語）
stamp	郵票
weight	重量
photographer	攝影師
hamburger	漢堡包
dried mango	芒果乾（片語）
Italy	意大利
seasonal	季節性的
hobby	嗜好
clown	小丑
apple	蘋果
cookie	曲奇
clean	清潔
knitting	編織（名）
stalk	莖
kilogram	公斤／千克
Thailand	泰國
card	卡
seed	種子
rind	皮（果等）
program	寫程式
neighbour	鄰居
report	報告、報道
gift	禮物
appetite	有胃口
fast	快的
dried	被弄乾的
programmer	程式設計員
v-necked collars	V領（片語）
knit	針織
after that	...之後
stick	貼
envelope	信封
raincoat	雨衣
first	首先、第一個
windbreaker	風褸
sausage	香腸
purple	紫色的
tomato	番茄
cruelly	殘忍地
gramophone	留聲機
quite	相當
listen to music	聽音樂（片語）
cinema	電影院
school uniform	校服（片語）
jeans	牛仔褲
last	最後一次
travel	旅行
French	法國的、法國人、法文
dice	切粒、骰仔
tissue	紙巾
socks	袜
spring onion	葱（片語）
chop	刴碎
mass	大量的、大規模的、民眾的
beat	打
formal	形式的、正式的
uniform	制服
back	背
better...than	比...更好
casual clothes	便裝（片語）
sleeve	袖
seldom	很少做...
pyjamas	睡衣
blouse	女人或兒童的短襯衫
ring	指環
zip	拉鏈
skirt	半截裙
in front of	在...前面（片語）
blazer	西裝外套
replace	代替
strike	打擊
struck	strike的過去式和過去分詞
American food	美國食物（片語）
pray	祈禱
finally	最後
radio	收音機
button	按鈕
next	接著、下一個
shoe string	鞋帶（片語）
then	然後
handkerchief	手帕
uncomfortable	不舒服
suit	套裝
next to	旁邊
church	教堂
chow mein	炒麵
comfortable	舒服
cross harbour tunnel	過海隧道（片語）
onion	洋葱
London	倫敦
weekend	週末
punish	懲罰
cardigan	羊毛衫
correct	改正、正確的
lightning	閃電
washboard	洗衣板
carry	攜帶
dim sum	 點心（片語）
never	從不、永不
stable	馬槽
stir-fry	炒
pillow	枕頭
Mass Transit Railway (MTR)	地鐵（片語）
tie	綁、領呔
tunnel	隧道
Jesus	耶蘇
go from place to place	由一處到另一處（片語）
jacket	外套（比coat短，不過腰）
seldom	很少做
add	加
bean curd	豆腐（片語）
cut	切開
sometimes	有時
dress	連身裙
beach	海灘
polo-neck top	馬球領上衣（片語）
spread	塗抹、擴散
mistake	錯誤
long-sleeved top	長袖上衣（片語）
formal clothes	正裝
walk	行走
rather	相當
short-sleeved shirt	短袖衫（片語）
New York	紐約
definitely	一定
groom	馬伕
casual	隨便的
choysum	菜心
shirt	恤衫
decide	決定
bearing rein	勒馬韁繩（片語）
listen to	傾聽
always	總是
umbrella	傘
nearly	差不多
fried noodles	炒麵（片語）
ferry	渡輪
shorts	短褲
cross	橫過
French toast	西多士（片語）
stamp	郵票，信封
almost	差不多
sometimes	有時
sweater	線衫
round	圓的
sedan chair	轎子（片語）
underwear	內衣
motorcycle	電單車
coat	外套
ham	火腿
trousers	長褲
syrup	糖漿
fast food shop	快餐店（片語）
transit	運輸
collar	 衣領
railway	鐵路
tofu	豆腐
dip	浸泡
cry	哭
America	美國（美利堅）
round-necked T-shirt	圓領T裇（片語）
look at	看著
neck	頸
wok	鑊
often	時常
pinafore	無袖連身裙
bride	新娘
continue	繼續
fight	打鬥（動、名）
fought	fight的過去式和過去分詞
carriage	馬車
Lord	貴族，領主
hurt	使痛、使受傷
hit	打
probably	很可能
American	美國人、美國的
knitted sweater	針織線衫（片語）
harbour	海港
electricity	電力
used tissue	已用過的紙巾
tissue	紙巾
used	已用過的
waste paper	廢紙（片語）
waste	廢棄的、浪廢
chopsticks	筷子
glass jar	玻璃瓶
glass	玻璃
jar	瓶（濶口的如裝果醬等）
foam box	發泡膠盒（片語）
foam	泡沫
cardboard	紙箱
clothes	衣服
reduce	減少
reuse	重用
recycle	回收
turn off	關掉（電器等、片語）
should	應該
should not	不應該（片語）
environment	環境
soft drink can	汽水罐
soft drink	汽水
can	能夠、罐
protect	保護
shopping bag	購物袋（片語）
plastic bag	膠袋
plastic	塑膠
plastic bottle	膠樽（片語）
bottle	樽
grow plant	裁種植物（片語）
grow	 生長、種植
plant	植物
less	更少（不可數）
fewer	更少（可數）
stupid	蠢的
have got	有（片語）
work with	同...一起工作（片語）
have to	必須（不自願、片語）
until	直至
angry with	生...的氣（片語）
expensive	貴的
get into	入去（片語）
hard	硬的
month	月
get well	病好（片語）
show	出示
will never...again	不會再（片語）
strange	奇怪的
harness	馬具
knife	刀
grass	草
leave...with...	留下...給...（片語）
drunk	喝醉的
nice	好的、善意的
song	歌
midnight	半夜
try to	嘗試（努力、片語）
mouth	口
ear	耳
fall	跌
ground	地面
make	令人...
another	另一個
the other	餘下那個（片語）
wet market	街市、菜市場
indoor	室內的
outdoor	室外的
food court	食物廣場（片語）
meat section	肉類區（片語）
section	區、節
stall	攤檔
hook	鈎
butcher	屠夫
frozen	冰凍的
poultry	家禽
bucket	桶
fishmonger	魚販
monger	商販
landing net	抄網（片語）
tank	（魚）缸
scale	磅、稱
weight	重量
weigh	重多少（動）
bargain	講價、便宜貨
trader	商人、買賣者
trade	交易（動、名）
transport	交通、運輸
tell	告訴
bathroom	洗手間
film	韮林
wet	濕的
top	上面、頂
cart	二輪馬車
principal	校長
hard	勤力地、硬的
couple	對、兩三個
already	已經
chance	機會
type	打字、類型
shopping	購物（名）
safely	（人身）安全地
way	方式、路
ship	船（大）
difference	不同（名詞）
stay	留
cab	的士（美）
India	印度
ever	曾經
donate	捐
invent	發明（動）
gun	槍
machine	機器
exercises	練習（名）
guest	客人
invite	邀請（動）
result	結果
hop	跳過
lazy	懶惰的
travel	旅行
tram	電車
most	最
road	 馬路
best	最好的
so far	到目前為止
safety	安全（名）
shape	形狀
cloudy	多雲的
passenger	乘客
cupboard	櫃
worry	使擔心
delighted	高興的
borrow	借入
magic	 魔術
flag	 旗
fight	打鬥（動、名）
great	大的、偉大的
receptionist	接待員
sunbath	晒太陽（名）
assign	分配、指定
professor	教授
at last	最後（片語）
flashing	閃的
thousand	一千
English	英文
translate	翻譯
goat	山羊
different	不同的
hungry	饑餓的
camel	駱駝
try	嘗試
tried	try的過去式和過去分詞
probably	很可能地
concert	演唱會
whale	鯨魚
left	左邊的、leave的過去式
dry	乾的
above	上面／超過（前置詞）
prepare	準備
cross	橫過、十字架
broken	損毀了的
hunger	饑餓
Canada	加拿大
accident	意外
spend	花費／消費
enemy	敵人
shout	大叫
certainly	一定地
page	頁
better	更好的
seldom	很少做
Japan	日本
desert	沙漠
fault	過錯
learn	學習
break	折斷
jungle	森林
stone	石頭
Japanese	日文、日本人、日本的
French	法文、法國的、法國人
away	離去（前置詞）
soft	柔軟的
examination	考試（名）
study	學習
leaflet	小冊子
leave	離開
punish	懲罰
video	錄像
traffic light	 交通燈
clown	小丑
pebble	石春
rough	粗糙的
danger	危險
stay	停留
bandages	綳帶
distance	距離
purpose	目的
greet	問候
dig	掘
empty	空的
put on	穿上（片語）
decision	決定（名）
square	正方形
decide	決定（動）
safe	（人身）安全的
explorer	探索者
through	通過
the poor	窮人
rude	粗魯的
envelope	信封
all the time	成日（片語）
bottom	底部
education	教育（名）
traffic	交通
spread	（病毒等）擴散
slide	滑動
Minister	大臣、部長
decision	決定（名）
ancient	古代的
typhoon	颱風
when	甚麼時候、當
knapsack	背包
interested in	對...有興趣（片語）
rollerblading	滾軸溜冰
farm	農場
temperature	溫度
guest	客人
bracelet	手鐲
pay attention to	注意、留心（片語）
balcony	陽台
barbecue	巴別橋（燒烤野餐）
skateboarding	滑板
foggy	大霧的
thunder	雷
weather report	天氣報告
afraid of	害怕（片語）
net	網
problem	困難、難題
endanger	危及
moral	道德的
planet	行星
wrist	手腕
stage	舞台
sunny	晴朗的
cause	導致
online chat	網上聊天
height	高度
shake	搖
surf	滑浪（動）（引申為上網）
fog	霧
weather outlook	天氣展望（片語）
sneakers	運動鞋（眾）
in trouble	有問題、有麻煩（片語）
surfing	滑浪
stormy	暴風雨的
serve	服務（動）
landslide	滑坡
electronic	電子的
land	土地
storm	暴風雨
excite	使興奮
hurry	匆忙
Prime Minister	首相（片語）
camp	路營（名）
behind	在...後面（前置詞）
prime	首要的
tourist	旅遊的、遊客
shower	驟雨、淋花洒
report	報告（動、名）
cycling	踏單車
canoe	獨木舟
windsurfing	風帆
humid	潮濕的
amaze	使驚訝
shake hands	搖（握）手（片語）
interesting	有趣的
windy	大風的
monsoon	季候風
skating	溜冰（包括滾軸溜冰等）
lake	湖
on my way home	我回家途中（片語）
maximum	最大的、最大值
calm	平靜的、冷靜的
outdoor	室外的
trouble	麻煩
necessary	必須的
jungle	森林
warm	溫暖的
heavy rain	暴雨（片語）
observatory	天文台
outlook	展望（名）
pay for	支付去買...
patient	有耐性的
lightning	閃電
ice-skating	（真雪）溜冰
karaoke	卡拉OK
directly	直接地
thunderstorm	雷雨
director	總監、董事、導演
surf the Net	上網（片語）
monster	怪物
make	使...
wet	濕的
as...as	同...一樣（片語）
chat	聊天（動、名）
China	中國
go off	（鐘）響起、熄掉（燈）（片語）
write	寫
carry	攜帶
London	倫敦
handbag	手袋
meet	遇見
quite	相當地
look at	看著（片語）
always	總是、常常
party	派對
crazy	瘋狂的
ancient	古老的
family	家庭、家人
marks	分數
hot	熱的
polite	有禮的
back	後面（名）、回來（副）
patient	病人、有耐心的
comic	漫畫
steal	偷
tired	疲倦的
brother	兄弟
clever	聰明的
rectangle	 長方形
quick	快的
circle	圓形
how long does it take...	要多少時間（片語）
birthday	生日
fruit	生果
trick	計謀
heard	 hear的過去式
impatient	不耐煩
dinner	晚餐
right	右邊、正確的
shell	貝瞉
wash	洗
dollar	元
kitchen	廚房
turn off	關掉
how many	 多少（可數）
hide	隱藏
hid	hide的過去式
early	早
news	消息
light	燈、輕的
stand up	站立
there is	有（存在著）（片語）
often	經常
poster	  海報
crash	（電腦）死機、（飛機、車）撞毀
test	測驗
tidy	收拾、清理、整齊的
black	黑色的
than	比
wood	木材
backpack	背囊
taxi	的士
which	哪一個
fire	開火
welcome	歡迎
juice	汁
beach	沙灘
angry	憤怒的
duck	鴨
watch	觀看
orange	橙
fail	失敗
Paris	巴黎
food	食物
umbrella	雨傘
green	綠色的
sitting room	客廳（片語）
listen to	聆聽
letter	信
speak	說話
read	讀
although	雖然
hundred	 一百
foot	腳
shoes	鞋
ferry	渡輪
never	 從未、永不
floor	地面、地板
nobody	沒有人
list	清單
helpful	樂於助人的
cold	凍的
check	檢查
triangle	三角形
picture	相片、圖形
mobile phone	手提電話（片語）
run	跑
parents	父母
view	風景
think	（思）想
since	由...起、因為
or	或者、否則
people	人們
too	太、也／都
arm	手臂
tricycle	三輪車
drawing	繪畫（名）
how far is it...	距離有多遠（片語）
sand	沙
cap	帽（無邊，但可有鴨舌）
breakfast	早餐
careless	不小心的
arrive	到達
newspaper	報紙
naughty	頑皮的
happy	快樂的
cinema	戲院
computer	電腦
below	在...下面（前置詞）
walk	 行
train	火車
just	剛剛
smooth	光滑的
sweep	掃
music	音樂
star	星星
alarm	警鐘
quiet	安靜的
while	當
hardworking	勤力的
seat	 座位
waitress	侍應（女）
magazine	雜誌
playground	操場
plant	植物
have breakfast	吃早餐（片語）
towel	毛巾
bedroom	睡房
smoke	吸煙
sword	劍
swallow	燕子
Egypt	埃及
maid	侍女
palace	皇宮
melt	熔
cracked	裂開的
beat	打（多次）
heaven	天堂
nightingale	夜鶯
oak tree	橡樹
chest	胸部
blood	血
thorn	（花的）刺
petal	花瓣
nephew	侄子
cold-hearted	冷血的
wheel	車輪
crush	壓碎
matron	女舍監
writer	作家
board	板、上車／船、寄宿
allowance	生活費（零用錢）
basketball team	藍球隊（片語）
sprint	短跑
sophomore	大學二年級學生
Europe	歐洲
pneumonia	肺炎
sapphire	藍寶石
ruby	紅寶石
dressmaker	裁縫
India	印度
heart	心
writing a play	寫劇本（片語）
theatre	劇院
match	火柴
rose	玫瑰
press	壓
garden	花園
sundial	日晷
moonlight	月光
Chamberlain	宮庭大臣
jewel	寶石
ungrateful	不感恩的
orphan	孤兒
orphanage	孤兒院
trustee	董事
talent	天份
author	作家
tuition	學費
college	學院
pet name	暱稱
farm	農場
Master	少爺／主人
nurse	護士
gold piece	金幣（片語）
watch	手錶
dictionary	字典
Christmas	聖誔
poem	詩
tutor	補習老師
Latin	拉丁文
story contest	故事比賽
relative	親戚
postcard	明信片
receive	收到
weekend	週末
half past	...點半（片語）
robber	劫匪
set...free	釋放（片語）
release	釋放
hostage	人質
a quarter past	...過了十五分鐘（片語）
a quarter to	未有十五分鐘才到...（片語）
yoga	瑜珈
dinner time	晚飯時間
midnight	午夜
vacuum cleaner	吸塵機（片語）
repair	收理
upload	上載
photo	相片
sun set	太陽下山
cousin	表／堂兄弟
properly	正常地、正確地
shelf	書架
politician	政治家
publish	出版
autobiography	自傳
robot	機械人
principal	校長
chase	追
rainbow	彩虹
shine	照耀
barber	髮型師
grocer	雜貨店主
chemist	藥劑師
baker	麵包師
dentist	牙醫
butcher	肉販
these	這些
those	那些
this	這個
that	那個
Ginza	銀座
kimono	和服
traditional	傳統的
nephew	甥、姪
animal shelter	動物庇護所（片語）
seminar	研討會
correct	改正、正確的
adopt	領養
poodle	貴婦狗
sister-in-law	嫂嫂、弟婦
chat	交談
pick up	接（放學等）
grandson	孫兒
kindergarten	幼稚園
check in	辦理入住手續（片語）
comfortably	舒適地
hotel	酒店
audience	觀眾
seat	座位
teenager	青少年
melody	旋律
lyric	歌詞
wonderful	美妙的
composer	作曲家
colleague	同事
air-conditioner	冷氣機
gate	大閘
wisdom tooth	智慧齒
suffer	受苦
dentist	牙醫
pull out	拉出（片語）
