[Primary 6]
university	大學
grow	生長、種植
kid	小孩
neck	頸
teenager	青少年
motorcycle	電單車
scene	風景、場景
post office	郵局
fry	煎
wake	喚醒
fat	肥的
point	觀點、點、分數、指著
regular	有規律的
mark	做上記號、記號、得分（如測驗等）
finish	結束
seldom	很少（做某事）
tip	貼士
education	教育
paint	油漆、涂上（油漆或顏料）
however	但是（副）
rule	規則
airplane	飛機（美）
plane	飛機（簡寫）、平面
favorite	最愛的
joy	喜悅
system	系統
with	與...一起、用（前置詞）
embarrass	使...尷尬
twice	兩次
electric	電力的
couch	長梳化
lead	帶領
sidewalk	人行道
level	程度、水準
envy	羡慕
build	建造
cell phone	手機（美）
argue	爭論
lucky	幸運的
strange	古怪的
least	最少的
master	主人、師傅
role	角色
trip	旅行（名）
together	一起
junior high school	初中
example	例子
friendship	友誼
tired	疲倦的
more	更多的、更
current	目前的
jog	慢跑
importance	重要性
sale	銷售（名）
century	世紀
notice	注意到、告示
indicate	指示出
Christmas	聖誕節
order	落訂、命令、次序
camp	露營（動、名）
foot	腳
unhappy	不高興的
dig	掘
kill	殺死
cent	分（十分等於一角）
enter	進入
price	價錢
develop	發展
cheer	歡呼（動）
colorful	多色彩的
general	 一般的
man	男人
finally	最終
planet	行星
lose	失去
blame	責備
senior high school	高中
find	找到
blood	血液
public	公共的
postcard	明信片
fantastic	極好的
correct	正確的、改正
major	主要的
hard-working	努力工作的
share	分享
department store	百貨公司
toy	玩具
latter	後者
late	遲的
childhood	童年
lip	嘴唇
simple	簡單的
believe	相信
headache	頭痛
job	職業、工作
doll	洋娃娃
PE	體育科
tennis	網球
novel	小說、新穎的
shape	形狀
hit	打、擊中
subject	學科、主語
celebrate	慶祝
cookie	曲奇
repeat	重複
special	特別的
pet	寵物
chart	圖表
biology	生物學
corner	角落
divide	分割、除
gas	氣體
decrease	減少
center	中心
scenery	景色
vacation	假期
tooth	牙齒
steak	牛排
church	教堂
wise	明智的
pork	豬肉
fancy	幻想、想要、喜歡（異性）、花巧的
discuss	討論
match	匹配、火柴、比賽
convenient	方便的
have	有、已經（助動詞）
certain	肯定的
dinosaur	恐龍
foreigner	外國人
garbage	垃圾
program	節目、計劃
hurt	傷害
chemistry	化學
dozen	一打（十二件）
finger	手指
insist	堅持
therefore	因此
stone	石頭
waiter	侍應生
flag	旗
next	下一個
effort	努力（名）
cute	可愛的
safe	安全的
waterfall	瀑布
crazy 	瘋狂的
forget	忘記
root	根
comic	漫畫
smart	醒目的
successful	成功的
result	結果
gram	克
belong	屬於
recorder	錄音機
medium	中間的、媒介
towel	毛巾
army	軍隊
understand	了解
shopkeeper	店主
arm	手臂
smoke	抽煙、煙
sometimes	有時候
voice	語音
buy	買
bored	感到悶的
comfortable	舒服的
duty	職責
beauty	美麗、美人
barbecue	巴別橋
snack	小食
fashionable	時髦的
magic	魔術
computer	電腦
coast	海岸
sense	感覺（名）、感應、感受
menu	菜單
shoot	射擊
bookstore	書店
chance	機會
break	打破、小息
leader	領導者
write	寫
traffic	交通
theater	劇院
climb	爬
surf	滑浪
block	街區、阻擋
liter	公升
available	可使用的
feed	餵、飼養
knowledge	知識
powder	粉末
package	包裹
everyone	每人
everybody	每人
upper	上部的
math	數學
empty	空的
gather	團聚
surprise	驚訝
cousin	堂／表兄弟姊妹
careful	小心的
case	情形、箱
hide	隱藏
fall	掉落
media	媒體（眾數）
bath	洗澡（動、名）
proud	驕傲的
handsome	英俊的
giant	巨人、巨大的
dish	碟
win	嬴
bring	帶
bottom	底部
fix	修理、固定
do	做
guess	猜
bank	銀行
lemon	檸檬
terrific	好極的
eve	前夕
mile	英哩
feel	感覺
apologize	道歉
umbrella	雨傘
equal	相等的
health	健康（名）
wild	野生的
sleepy	想睡的
mean	意味著
honest	誠實的
shop	商店
kilometer	公里
national	國家的
bakery	麵包店
queen	皇后
skate	溜冰
marvelous	妙極的
officer	官員
player	球員、玩家
stupid	愚蠢的
bite	咬
distant	遠離的
physics	物理學
choice	選擇（名）
know	知道
married	結婚的
female	女性的、女性
weekend	週末
base	底部、根基
income	收入
suggest	建議
increase	增加（動、名）
sound	聲音、聽起來
edge	邊緣
ignore	忽略
than	比...（更...）
part	部分
collect	收集
mail	郵件
her	她的
hers	她的東西
herself	她自己
interesting	有趣的
kick	踢
anyone	任何人
anybody	任何人
latest	最近的
backward	向後的
considerate	體貼的
a lot	許多（片語）
haircut	剪頭髮（名）
sentence	句子
should	應該
habit	習慣
jeans	牛仔褲
always	總是
pack	一包、執行李
furniture	家俬
stomach	胃
professor	教授
report	報告
smell	聞到
lick	舔
sell	賣
shoulder	肩膀
hold	拿著
baseball	棒球
likely	很可能地
excited	興奮的
helpful	有幫助的、樂於助人的
reporter	記者
then	之後、那時
present	現在的、禮物、出席的
state	州
eagle	鷹
information	資訊、訊息
bathe	浸洗
crayon	臘筆
besides	除了...之外
less	較少的（不可數）
stationery	文具
gift	禮物
knee	膝蓋
dream	夢、造夢、夢想
Roller-blade	滾軸溜冰
though	雖然
although	雖然
experience	經驗
interest	興趣
king	國王
a few	幾個（可數）
nod	點頭
tape	錄音帶、膠紙
a little	少量（不可數）
boring	悶的
USA	美國（簡稱）
elementary school	小學
somewhere	某處
get	得到、變得
spend	花費
cheat	作弊、欺騙
true	真正的
scooter	滑板車
skillful	熟練的
beyond	超越（前置詞）
bother	打擾
talent	天分
diet	飲食習慣
genius	天才
Taiwan	台灣
taste	嚐起來、品味
heat	熱力
stranger	陌生人
interested	對...感到興趣的
lonely	寂寞的
touch	接觸、碰到
Valentine	情人節
beginner	初學者
hobby	嗜好
oil	油
festival	節日
color	顏色
waitress	女侍應生
mailman	郵差
mail carrier	郵差
forward	向前的、向前地
sight	景象、視力
begin	開始
fast	快速的
leave	離開、把...留下來
energetic	活力充沛的
appear	出現
store	士多、儲存
concern	關心
workbook	習題簿
else	其他、否則
pocket	口袋
become	變成
kite	風箏
recycle	循環再造
common	常見的
formal	正式的
someone	某人
somebody	某人
vendor	小販、銷售商
describe	描寫
shall	將會（用於I或we）
prepare	準備
surprised	吃驚的
diplomat	外交官
oneself	他／她自己
refrigerator	雪櫃
thirsty	口渴的
hang	掛
hear	聽見
cause	導致
weekday	周日
drop	掉落
dawn	黎明
trick	把戲
soul	靈魂
