[遊戲成癮-2]
intervene   介入
eventually  最終
rehabilitate   使康復
firearm 火器（槍等）
refuse  拒絕
violent 暴力的
tragic  悲劇的
Korean    韓國的、韓國人、韓語
hooked    被吸引著
simulation  模擬（名）
ironically  諷刺地
couple  夫婦、一對
digital 數碼的
avatar  虛擬化身
infant  嬰兒（一歲以下）
excellent   極好的
survey  統計調查
prevalent   普遍的、常見的
psychologist    心理學家
warn    警告（動）
lead to 導致（片）
obesity 痴肥
eyesight    視力
social  社交的、社會的
interaction 互動（名）
dealt   deal的過去式和過去分詞
combat  打擊
epidemic    流行病
recover 恢復、康復
struggle    爭扎（動、名）
several 幾個
occasion    場合
inspire 啟發
audience    觀眾
mentor  良師
professor   教授
PhD 博士
psychology  心理學 
session 一節（課等）
insight 精僻見解
whether 是否
hypnosis    催眠（名）
cure    治好
further 推進、進一步的
research    研究（動、名）
compile 匯編
counsellor  心理輔導員
rehabiliation   康復（名）
challenge   挑戰（動、名）
overcome    克服
