[技術-懶散之路-5]
questionable
	adj,可被質疑的
community
	n,社區
organizer
	n,組織者（美）
towards
	prep,向著
event
  n,事件
	n,（社交等）活動
organization
	n,組織（美）
claim
	v,聲稱
  n,聲稱
mobilize
	v,動員（美）
activity
	n,活動
publicize
	v,使人注意到（美）
social	社交的、社會的
media	媒體
turnout	出席人數
declare	宣佈
enthusiastically	熱情地
instrumental	（為達成某目的）極重要的
spread	散播、撒
trend	變得受人關注、趨勢
physical	體力的
direct	直接的
advantage	優勢
popular	受歡迎的
augment	擴充
mobile	移動的
globe	地球、球體
require	需要（動）
progress	進展（動、名）
in-game	在遊戲裡（片）
wearable	可穿戴的
fitness	健美（名）
tracker	追綜器
develop	發展
specifically	特定地
exercise	鍛練（動、名）
mind	思想、介意
keep track of	留意著某人／物的動向
number	數目、數字
per	每
as well as	以及（片）
heart	心
rate	率、速率
heart rate	心率（片）
pattern	模式
increase	增加（動、名）
incentive	誘因
engage	投入、使投入
put sth to bed	決定性地解決（片）
label	標籤
psychologist	心理學家
whether	是否
machine	機器
men	男人（眾）
ultimately	最終
final say	最終話語權
behaviour	行為
choice	選擇（名）
lie	躺、位於
squarely	直接地、乾脆地
tool	工具
